movieId,averageRating,numVotes,title,genres
1,8.3,849180,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
2,7.0,292798,Jumanji (1995),Adventure|Children|Fantasy
3,6.7,23321,Grumpier Old Men (1995),Comedy|Romance
4,5.9,9165,Waiting to Exhale (1995),Comedy|Drama|Romance
5,6.0,32937,Father of the Bride Part II (1995),Comedy
6,8.2,551462,Heat (1995),Action|Crime|Thriller
7,6.3,35218,Sabrina (1995),Comedy|Romance
8,5.5,9545,Tom and Huck (1995),Adventure|Children
9,5.8,31056,Sudden Death (1995),Action
10,7.2,231572,GoldenEye (1995),Action|Adventure|Thriller
11,6.8,49943,"American President, The (1995)",Comedy|Drama|Romance
12,5.9,37587,Dracula: Dead and Loving It (1995),Comedy|Horror
13,7.1,38327,Balto (1995),Adventure|Animation|Children
14,7.1,27903,Nixon (1995),Drama
15,5.7,25149,Cutthroat Island (1995),Action|Adventure|Romance
16,8.2,441729,Casino (1995),Crime|Drama
17,7.6,97541,Sense and Sensibility (1995),Drama|Romance
18,6.8,95074,Four Rooms (1995),Comedy
19,6.4,196267,Ace Ventura: When Nature Calls (1995),Comedy
20,5.7,37768,Money Train (1995),Action|Comedy|Crime|Drama|Thriller
21,6.9,73608,Get Shorty (1995),Comedy|Crime|Thriller
22,6.6,52072,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller
23,6.3,75375,Assassins (1995),Action|Crime|Thriller
24,6.6,27804,Powder (1995),Drama|Sci-Fi
25,7.5,110793,Leaving Las Vegas (1995),Drama|Romance
26,6.9,8814,Othello (1995),Drama
27,6.8,26107,Now and Then (1995),Children|Drama
28,7.6,9601,Persuasion (1995),Drama|Romance
29,7.5,63262,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi
30,7.1,4968,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama
31,6.5,46748,Dangerous Minds (1995),Drama
32,8.0,560849,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller
33,6.4,601,Wings of Courage (1995),Adventure|Romance|IMAX
34,6.7,113336,Babe (1995),Children|Drama
35,6.8,4945,Carrington (1995),Drama|Romance
36,7.5,85851,Dead Man Walking (1995),Crime|Drama
37,6.0,231,Across the Sea of Time (1995),Documentary|IMAX
38,5.9,19678,It Takes Two (1995),Children|Comedy
39,6.8,168647,Clueless (1995),Comedy|Romance
40,6.8,1648,"Cry, the Beloved Country (1995)",Drama
41,7.4,13371,Richard III (1995),Drama|War
42,6.9,18934,Dead Presidents (1995),Action|Crime|Drama
43,6.6,8671,Restoration (1995),Drama
44,5.8,98034,Mortal Kombat (1995),Action|Adventure|Fantasy
45,6.8,42071,To Die For (1995),Comedy|Drama|Thriller
46,6.3,10411,How to Make an American Quilt (1995),Drama|Romance
47,8.6,1373199,Seven (a.k.a. Se7en) (1995),Mystery|Thriller
48,6.7,162672,Pocahontas (1995),Animation|Children|Drama|Musical|Romance
49,6.5,6398,When Night Is Falling (1995),Drama|Romance
50,8.5,952267,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
51,4.9,320,Guardian Angel (1994),Action|Drama|Thriller
52,7.0,36911,Mighty Aphrodite (1995),Comedy|Drama|Romance
53,7.5,2008,Lamerica (1994),Adventure|Drama
54,5.6,8845,"Big Green, The (1995)",Children|Comedy
55,6.6,2749,Georgia (1995),Drama
56,4.8,297,Kids of the Round Table (1995),Adventure|Children|Comedy|Fantasy
57,6.6,11427,Home for the Holidays (1995),Drama
58,7.7,32124,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance
59,7.5,1503,"Confessional, The (Confessionnal, Le) (1995)",Drama|Mystery
60,6.0,25107,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy
61,6.2,12871,Eye for an Eye (1996),Drama|Thriller
